Datum,Zeit,Team,KW,Heim,Gast,Logo Heim,Logo Gast,home_link,guest_link,Spiel,Spielort,Spielort_URL
24.04.26, 18:30,B-J-innen,17,SGM ABI,SV Sülzbach,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB1000005LVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/02F0RK819O000000VS5489B2VUBVHUE0,https://www.fussball.de/mannschaft/sv-suelzbach-sv-suelzbach-wuerttemberg/-/saison/2526/team-id/01SNVKVU90000000VS548984VVFI3UG1,https://www.fussball.de/spiel/sgm-sc-ilsfeld-beilstein-abstatt-abi-sv-suelzbach/-/spiel/02VPHPOV9C000000VS5489BTVTG66ASV,,
08.05.26, 18:30,B-J-innen,19,TSV Güglingen,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAUG0000A2VV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/tsv-gueglingen-tsv-gueglingen-wuerttemberg/-/saison/2526/team-id/02Q4EG8O4K000000VS5489B2VUIQEL53,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/02F0RK819O000000VS5489B2VUBVHUE0,https://www.fussball.de/spiel/tsv-gueglingen-sgm-sc-ilsfeld-beilstein-abstatt-abi/-/spiel/02VPHPOVC8000000VS5489BTVTG66ASV,,
14.03.26, 14:15,C,11,SGM FSV Schwaigern/​Oberes Leintal I,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB4O000020VV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-fsv-schwaigern-oberes-leintal-i-fsv-schwaigern-wuerttemberg/-/saison/2526/team-id/02Q30U3PPC000000VS5489B1VVDHMN8Q,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/020CNNEK1G000000VS548984VS7EIAOE,https://www.fussball.de/spiel/sgm-fsv-schwaigern-oberes-leintal-i-sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i/-/spiel/02VK973VDO000000VS5489BUVS0RAL9C,"Falltorstr. 10, Schwaigern",https://www.google.de/maps?q=Falltorstr.+10%2C+74193+Schwaigern
21.03.26, 14:15,C,12,SGM ABI,SGM Union Heilbronn /​ TSN 1969 II,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB4O0000AVVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/020CNNEK1G000000VS548984VS7EIAOE,https://www.fussball.de/mannschaft/sgm-union-heilbronn-tsn-1969-ii-fc-union-heilbronn-wuerttemberg/-/saison/2526/team-id/011MIAJHQO000000VTVG0001VTR8C1K7,https://www.fussball.de/spiel/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sgm-union-heilbronn-tsn-1969-ii/-/spiel/02VK973VLC000000VS5489BUVS0RAL9C,,
28.03.26, 14:15,C,13,SGM TSV Meimsheim Zabergäu,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00007UVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-tsv-meimsheim-zabergaeu-tsv-meimsheim-wuerttemberg/-/saison/2526/team-id/02MBODQ934000000VS5489B2VURM3E5J,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/020CNNEK1G000000VS548984VS7EIAOE,https://www.fussball.de/spiel/sgm-tsv-meimsheim-zabergaeu-sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i/-/spiel/02VK973VOO000000VS5489BUVS0RAL9C,,
18.04.26, 14:15,C,16,SGM ABI,SGM Willsbach I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB3G000006VV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/020CNNEK1G000000VS548984VS7EIAOE,https://www.fussball.de/mannschaft/sgm-willsbach-i-tsv-willsbach-wuerttemberg/-/saison/2526/team-id/02Q4CJEOFK000000VS5489B1VTILVS2U,https://www.fussball.de/spiel/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sgm-willsbach-i/-/spiel/02VK973VTO000000VS5489BUVS0RAL9C,,
25.04.26, 14:15,C,17,SGM Tiefenbach H-U-T-H,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNB100000BAVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-tiefenbach-h-u-t-h-spfr-tiefenbach-wuerttemberg/-/saison/2526/team-id/02Q3QAKAKC000000VS5489B2VUIQEL53,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/020CNNEK1G000000VS548984VS7EIAOE,https://www.fussball.de/spiel/sgm-tiefenbach-h-u-t-h-sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i/-/spiel/02VK973VUK000000VS5489BUVS0RAL9C,,
02.05.26, 14:15,C,18,SGM ABI,SGM Spvgg Möckmühl Unteres Jagsttal I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00008LVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/020CNNEK1G000000VS548984VS7EIAOE,https://www.fussball.de/mannschaft/sgm-spvgg-moeckmuehl-unteres-jagsttal-i-spvgg-moeckmuehl-wuerttemberg/-/saison/2526/team-id/02Q2DBH8H0000000VS5489B2VT450JFN,https://www.fussball.de/spiel/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sgm-spvgg-moeckmuehl-unteres-jagsttal-i/-/spiel/02VK97407G000000VS5489BUVS0RAL9C,,
09.05.26, 14:15,C,19,SGM Dahenfeld/​Oedheim I,SGM ABI,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAUG00001IVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-dahenfeld-oedheim-i-sc-dahenfeld-wuerttemberg/-/saison/2526/team-id/02MBONMPF4000000VS5489B2VURM3E5J,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/020CNNEK1G000000VS548984VS7EIAOE,https://www.fussball.de/spiel/sgm-dahenfeld-oedheim-i-sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i/-/spiel/02VK9740AG000000VS5489BUVS0RAL9C,,
16.05.26, 14:15,C,20,SGM ABI,SC Amorbach I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00002GVV0AG08LVUPGND5I,www.fussball.de/export.media/-/action/getLogo/format/0/id/00ES8GNAVO00009SVV0AG08LVUPGND5I,https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2526/team-id/020CNNEK1G000000VS548984VS7EIAOE,https://www.fussball.de/mannschaft/sc-amorbach-i-sc-neckarsulm-amorbach-wuerttemberg/-/saison/2526/team-id/011MIAT14C000000VTVG0001VTR8C1K7,https://www.fussball.de/spiel/sgm-sc-ilsfeld-abstatt-beilstein-heinriet-abi-i-sc-amorbach-i/-/spiel/02VK9740HG000000VS5489BUVS0RAL9C,,
