Datum;Zeit;Team;Heim;Gast;KW;Logo Heim;Logo Gast;home_link;guest_link;Spiel
14.06.23;19:00;B2;SGM  Frauenzimmern/​Güglingen;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI II;25;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAUG00006RVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAT8000025VV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-frauenzimmern-gueglingen-sv-frauenzimmern-wuerttemberg/-/saison/2223/team-id/02IP6QVCCK000000VS5489B1VT368TME;https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-ii-tgv-eintracht-beilstein-wuerttemberg/-/saison/2223/team-id/02B9N1UOUG000000VS5489B1VU20GQ5T;https://www.fussball.de/spiel/sgm-frauenzimmern-gueglingen-sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-ii/-/spiel/02KD6ORUK8000000VS5489B3VSG7Q4FB
18.06.23;10:30;B2;SGM TGV Eintracht Beilstein/​Abstatt/​Ilsfeld ABI II;Aramäer Heilbronn;25;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAT8000025VV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00K479PRAS000000VTVG0001VTILPTLE;https://www.fussball.de/mannschaft/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-ii-tgv-eintracht-beilstein-wuerttemberg/-/saison/2223/team-id/02B9N1UOUG000000VS5489B1VU20GQ5T;https://www.fussball.de/mannschaft/aramaeer-heilbronn-aramaeer-heilbronn-wuerttemberg/-/saison/2223/team-id/029AC2DKTS000000VS5489B2VV86THRA;https://www.fussball.de/spiel/sgm-tgv-eintracht-beilstein-abstatt-ilsfeld-abi-ii-aramaeer-heilbronn/-/spiel/02KD6ORULK000000VS5489B3VSG7Q4FB
21.04.23;18:30;B-J-innen;SGM SC Ilsfeld/​Beilstein/​Abstatt ABI;SGM Spfr Widdern;17;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO00002GVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNB28000043VV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/02F0RK819O000000VS5489B2VUBVHUE0;https://www.fussball.de/mannschaft/sgm-spfr-widdern-spfr-widdern-wuerttemberg/-/saison/2223/team-id/02ILQ7RU48000000VS5489B2VVQ9C6A6;https://www.fussball.de/spiel/sgm-sc-ilsfeld-beilstein-abstatt-abi-sgm-spfr-widdern/-/spiel/02KC37U140000000VS5489B4VU1O1RVG
28.04.23;18:30;B-J-innen;SV Sülzbach;SGM SC Ilsfeld/​Beilstein/​Abstatt ABI;18;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNB1000005LVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO00002GVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sv-suelzbach-i-sv-suelzbach-wuerttemberg/-/saison/2223/team-id/01SNVKVU90000000VS548984VVFI3UG1;https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/02F0RK819O000000VS5489B2VUBVHUE0;https://www.fussball.de/spiel/sv-suelzbach-i-sgm-sc-ilsfeld-beilstein-abstatt-abi/-/spiel/02KC37U14C000000VS5489B4VU1O1RVG
05.05.23;18:30;B-J-innen;SGM SC Ilsfeld/​Beilstein/​Abstatt ABI;SGM TSV Talheim/​Heilbronn;19;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO00002GVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNB100000AUVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/02F0RK819O000000VS5489B2VUBVHUE0;https://www.fussball.de/mannschaft/sgm-tsv-talheim-heilbronn-tsv-talheim-wuerttemberg/-/saison/2223/team-id/01SMLHVRF4000000VS548985VU8O1RK1;https://www.fussball.de/spiel/sgm-sc-ilsfeld-beilstein-abstatt-abi-sgm-tsv-talheim-heilbronn/-/spiel/02KC37U174000000VS5489B4VU1O1RVG
12.05.23;18:30;B-J-innen;SGM SC Ilsfeld/​Beilstein/​Abstatt ABI;TGV Dürrenzimmern;20;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO00002GVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAUG000039VV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/02F0RK819O000000VS5489B2VUBVHUE0;https://www.fussball.de/mannschaft/tgv-duerrenzimmern-tgv-duerrenzimmern-wuerttemberg/-/saison/2223/team-id/02ILQ9RRJG000000VS5489B2VVQ9C6A6;https://www.fussball.de/spiel/sgm-sc-ilsfeld-beilstein-abstatt-abi-tgv-duerrenzimmern/-/spiel/02KC37U1AG000000VS5489B4VU1O1RVG
19.05.23;18:30;B-J-innen;TSV Langenbeutingen;SGM SC Ilsfeld/​Beilstein/​Abstatt ABI;21;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO00005CVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO00002GVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/tsv-langenbeutingen-tsv-langenbeutingen-wuerttemberg/-/saison/2223/team-id/02B11GIKE0000000VS5489B1VULH2T74;https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/02F0RK819O000000VS5489B2VUBVHUE0;https://www.fussball.de/spiel/tsv-langenbeutingen-sgm-sc-ilsfeld-beilstein-abstatt-abi/-/spiel/02KC37U194000000VS5489B4VU1O1RVG
09.06.23;18:30;B-J-innen;SGM Spfr Widdern;SGM SC Ilsfeld/​Beilstein/​Abstatt ABI;24;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNB28000043VV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO00002GVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-spfr-widdern-spfr-widdern-wuerttemberg/-/saison/2223/team-id/02ILQ7RU48000000VS5489B2VVQ9C6A6;https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/02F0RK819O000000VS5489B2VUBVHUE0;https://www.fussball.de/spiel/sgm-spfr-widdern-sgm-sc-ilsfeld-beilstein-abstatt-abi/-/spiel/02KC37U1D4000000VS5489B4VU1O1RVG
16.06.23;18:30;B-J-innen;SGM SC Ilsfeld/​Beilstein/​Abstatt ABI;SV Sülzbach;25;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO00002GVV0AG08LVUPGND5I;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNB1000005LVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-beilstein-abstatt-abi-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/02F0RK819O000000VS5489B2VUBVHUE0;https://www.fussball.de/mannschaft/sv-suelzbach-i-sv-suelzbach-wuerttemberg/-/saison/2223/team-id/01SNVKVU90000000VS548984VVFI3UG1;https://www.fussball.de/spiel/sgm-sc-ilsfeld-beilstein-abstatt-abi-sv-suelzbach-i/-/spiel/02KC37U1DK000000VS5489B4VU1O1RVG
22.04.23;11:50;C1;VfR Heilbronn 96/​18 II;SGM SC Ilsfeld/​Abstatt/​Beilstein ABI I;17;www.fussball.de/export.media/-/action/getLogo/format/3/id/023QDJNIQK000000VS54898GVUU5JGVL;www.fussball.de/export.media/-/action/getLogo/format/3/id/00ES8GNAVO00002GVV0AG08LVUPGND5I;https://www.fussball.de/mannschaft/vfr-heilbronn-96-18-ii-vfr-heilbronn-96-18-wuerttemberg/-/saison/2223/team-id/02EKPGCJ60000000VS5489B2VU47K6LH;https://www.fussball.de/mannschaft/sgm-sc-ilsfeld-abstatt-beilstein-abi-i-sc-ilsfeld-wuerttemberg/-/saison/2223/team-id/020CNNEK1G000000VS548984VS7EIAOE;https://www.fussball.de/spiel/vfr-heilbronn-96-18-ii-sgm-sc-ilsfeld-abstatt-beilstein-abi-i/-/spiel/02IQVQNN1C000000VS5489B3VUDHAAN1
